stage 1: crash gate, 155-mixnet2s vs random
  clean over 24 games, 100% vs random

stage 2: SPRT[0, 20], challenger vs champion
  note: 300 pairs over 119 openings, 2.5 repeats each -- the SPRT will read more confident than the evidence warrants
    196 games  .... llr -0.31 [-2.94, 2.94] after 98 pairs, elo +3.5 +/- 40.3
    198 games  .... llr -0.40 [-2.94, 2.94] after 99 pairs, elo +1.8 +/- 40.1
    200 games  .... llr -0.23 [-2.94, 2.94] after 100 pairs, elo +5.2 +/- 40.3
  checkpoint 200: +5 Elo, undecided -> 200 more
    202 games  .... llr -0.32 [-2.94, 2.94] after 101 pairs, elo +3.4 +/- 40.0
    204 games  .... llr -0.48 [-2.94, 2.94] after 102 pairs, elo -0.0 +/- 40.2
    206 games  .... llr -0.64 [-2.94, 2.94] after 103 pairs, elo -3.4 +/- 40.3
    208 games  .... llr -0.56 [-2.94, 2.94] after 104 pairs, elo -1.7 +/- 40.0
    210 games  .... llr -0.57 [-2.94, 2.94] after 105 pairs, elo -1.7 +/- 39.7
    212 games  .... llr -0.66 [-2.94, 2.94] after 106 pairs, elo -3.3 +/- 39.4
    214 games  .... llr -0.67 [-2.94, 2.94] after 107 pairs, elo -3.2 +/- 39.0
    216 games  .... llr -0.83 [-2.94, 2.94] after 108 pairs, elo -6.4 +/- 39.1
    218 games  .... llr -0.75 [-2.94, 2.94] after 109 pairs, elo -4.8 +/- 38.9
    220 games  .... llr -0.76 [-2.94, 2.94] after 110 pairs, elo -4.7 +/- 38.6
    222 games  .... llr -0.78 [-2.94, 2.94] after 111 pairs, elo -4.7 +/- 38.2
    224 games  .... llr -0.60 [-2.94, 2.94] after 112 pairs, elo -1.6 +/- 38.4
    226 games  .... llr -0.53 [-2.94, 2.94] after 113 pairs, elo -0.0 +/- 38.2
    228 games  .... llr -0.54 [-2.94, 2.94] after 114 pairs, elo -0.0 +/- 37.9
    230 games  .... llr -0.70 [-2.94, 2.94] after 115 pairs, elo -3.0 +/- 38.0
    232 games  .... llr -0.78 [-2.94, 2.94] after 116 pairs, elo -4.5 +/- 37.7
    234 games  .... llr -0.94 [-2.94, 2.94] after 117 pairs, elo -7.4 +/- 37.8
    236 games  .... llr -0.95 [-2.94, 2.94] after 118 pairs, elo -7.4 +/- 37.5
    238 games  .... llr -0.88 [-2.94, 2.94] after 119 pairs, elo -5.8 +/- 37.3
    240 games  .... llr -0.80 [-2.94, 2.94] after 120 pairs, elo -4.3 +/- 37.1
    243 games  .... llr -0.81 [-2.94, 2.94] after 121 pairs, elo -4.3 +/- 36.8
    245 games  .... llr -0.82 [-2.94, 2.94] after 122 pairs, elo -4.3 +/- 36.5
    246 games  .... llr -0.65 [-2.94, 2.94] after 123 pairs, elo -1.4 +/- 36.7
    248 games  .... llr -0.81 [-2.94, 2.94] after 124 pairs, elo -4.2 +/- 36.8
