stage 1: crash gate, 160-v95 vs random
  clean over 24 games, 100% vs random

stage 2: SPRT[0, 20], challenger vs champion
  note: 300 pairs over 119 openings, 2.5 repeats each -- the SPRT will read more confident than the evidence warrants
    176 games  .... llr -0.74 [-2.94, 2.94] after 88 pairs, elo -9.9 +/- 45.6
    178 games  .... llr -0.75 [-2.94, 2.94] after 89 pairs, elo -9.8 +/- 45.1
    181 games  .... llr -0.76 [-2.94, 2.94] after 90 pairs, elo -9.7 +/- 44.6
    182 games  .... llr -0.60 [-2.94, 2.94] after 91 pairs, elo -5.7 +/- 44.8
    184 games  .... llr -0.62 [-2.94, 2.94] after 92 pairs, elo -5.7 +/- 44.3
    187 games  .... llr -0.63 [-2.94, 2.94] after 93 pairs, elo -5.6 +/- 43.8
    188 games  .... llr -0.64 [-2.94, 2.94] after 94 pairs, elo -5.5 +/- 43.4
    190 games  .... llr -0.57 [-2.94, 2.94] after 95 pairs, elo -3.7 +/- 43.1
    192 games  .... llr -0.50 [-2.94, 2.94] after 96 pairs, elo -1.8 +/- 42.8
    195 games  .... llr -0.51 [-2.94, 2.94] after 97 pairs, elo -1.8 +/- 42.4
    196 games  .... llr -0.52 [-2.94, 2.94] after 98 pairs, elo -1.8 +/- 41.9
    198 games  .... llr -0.53 [-2.94, 2.94] after 99 pairs, elo -1.8 +/- 41.5
    200 games  .... llr -0.61 [-2.94, 2.94] after 100 pairs, elo -3.5 +/- 41.2
  checkpoint 200: -3 Elo, undecided -> 200 more
    202 games  .... llr -0.54 [-2.94, 2.94] after 101 pairs, elo -1.7 +/- 41.0
    204 games  .... llr -0.47 [-2.94, 2.94] after 102 pairs, elo -0.0 +/- 40.7
    207 games  .... llr -0.31 [-2.94, 2.94] after 103 pairs, elo +3.4 +/- 40.9
    209 games  .... llr -0.39 [-2.94, 2.94] after 104 pairs, elo +1.7 +/- 40.6
    210 games  .... llr -0.40 [-2.94, 2.94] after 105 pairs, elo +1.7 +/- 40.2
    212 games  .... llr -0.33 [-2.94, 2.94] after 106 pairs, elo +3.3 +/- 40.0
    214 games  .... llr -0.33 [-2.94, 2.94] after 107 pairs, elo +3.2 +/- 39.6
    216 games  .... llr -0.34 [-2.94, 2.94] after 108 pairs, elo +3.2 +/- 39.3
    218 games  .... llr -0.35 [-2.94, 2.94] after 109 pairs, elo +3.2 +/- 38.9
    220 games  .... llr -0.36 [-2.94, 2.94] after 110 pairs, elo +3.2 +/- 38.5
    223 games  .... llr -0.45 [-2.94, 2.94] after 111 pairs, elo +1.6 +/- 38.3
    224 games  .... llr -0.37 [-2.94, 2.94] after 112 pairs, elo +3.1 +/- 38.1
    226 games  .... llr -0.53 [-2.94, 2.94] after 113 pairs, elo -0.0 +/- 38.2
    229 games  .... llr -0.45 [-2.94, 2.94] after 114 pairs, elo +1.5 +/- 38.0
    230 games  .... llr -0.46 [-2.94, 2.94] after 115 pairs, elo +1.5 +/- 37.7
    232 games  .... llr -0.55 [-2.94, 2.94] after 116 pairs, elo -0.0 +/- 37.4
    234 games  .... llr -0.38 [-2.94, 2.94] after 117 pairs, elo +3.0 +/- 37.6
    237 games  .... llr -0.47 [-2.94, 2.94] after 118 pairs, elo +1.5 +/- 37.4
    238 games  .... llr -0.63 [-2.94, 2.94] after 119 pairs, elo -1.5 +/- 37.5
    240 games  .... llr -0.56 [-2.94, 2.94] after 120 pairs, elo -0.0 +/- 37.3
    242 games  .... llr -0.64 [-2.94, 2.94] after 121 pairs, elo -1.4 +/- 37.1
    244 games  .... llr -0.65 [-2.94, 2.94] after 122 pairs, elo -1.4 +/- 36.8
    246 games  .... llr -0.74 [-2.94, 2.94] after 123 pairs, elo -2.8 +/- 36.6
    248 games  .... llr -0.75 [-2.94, 2.94] after 124 pairs, elo -2.8 +/- 36.3
    251 games  .... llr -0.67 [-2.94, 2.94] after 125 pairs, elo -1.4 +/- 36.1
    252 games  .... llr -0.60 [-2.94, 2.94] after 126 pairs, elo -0.0 +/- 35.9
    254 games  .... llr -0.61 [-2.94, 2.94] after 127 pairs, elo -0.0 +/- 35.6
    256 games  .... llr -0.44 [-2.94, 2.94] after 128 pairs, elo +2.7 +/- 35.8
    258 games  .... llr -0.45 [-2.94, 2.94] after 129 pairs, elo +2.7 +/- 35.5
    260 games  .... llr -0.28 [-2.94, 2.94] after 130 pairs, elo +5.3 +/- 35.6
    263 games  .... llr -0.21 [-2.94, 2.94] after 131 pairs, elo +6.6 +/- 35.5
    265 games  .... llr -0.21 [-2.94, 2.94] after 132 pairs, elo +6.6 +/- 35.2
    266 games  .... llr -0.22 [-2.94, 2.94] after 133 pairs, elo +6.5 +/- 34.9
    268 games  .... llr -0.31 [-2.94, 2.94] after 134 pairs, elo +5.2 +/- 34.8
    270 games  .... llr -0.14 [-2.94, 2.94] after 135 pairs, elo +7.7 +/- 34.9
    272 games  .... llr -0.07 [-2.94, 2.94] after 136 pairs, elo +8.9 +/- 34.7
    274 games  .... llr -0.15 [-2.94, 2.94] after 137 pairs, elo +7.6 +/- 34.6
    276 games  .... llr -0.24 [-2.94, 2.94] after 138 pairs, elo +6.3 +/- 34.4
    278 games  .... llr -0.16 [-2.94, 2.94] after 139 pairs, elo +7.5 +/- 34.2
    280 games  .... llr -0.09 [-2.94, 2.94] after 140 pairs, elo +8.7 +/- 34.1
    282 games  .... llr -0.25 [-2.94, 2.94] after 141 pairs, elo +6.2 +/- 34.2
    285 games  .... llr -0.34 [-2.94, 2.94] after 142 pairs, elo +4.9 +/- 34.0
    286 games  .... llr -0.35 [-2.94, 2.94] after 143 pairs, elo +4.9 +/- 33.8
    288 games  .... llr -0.19 [-2.94, 2.94] after 144 pairs, elo +7.2 +/- 33.9
    291 games  .... llr -0.03 [-2.94, 2.94] after 145 pairs, elo +9.6 +/- 34.0
    293 games  .... llr -0.19 [-2.94, 2.94] after 146 pairs, elo +7.1 +/- 34.1
    294 games  .... llr -0.27 [-2.94, 2.94] after 147 pairs, elo +5.9 +/- 33.9
    296 games  .... llr -0.12 [-2.94, 2.94] after 148 pairs, elo +8.2 +/- 34.0
    299 games  .... llr -0.20 [-2.94, 2.94] after 149 pairs, elo +7.0 +/- 33.9
    301 games  .... llr -0.13 [-2.94, 2.94] after 150 pairs, elo +8.1 +/- 33.7
    302 games  .... llr -0.29 [-2.94, 2.94] after 151 pairs, elo +5.8 +/- 33.8
    304 games  .... llr -0.13 [-2.94, 2.94] after 152 pairs, elo +8.0 +/- 33.9
    306 games  .... llr -0.14 [-2.94, 2.94] after 153 pairs, elo +7.9 +/- 33.7
    308 games  .... llr -0.15 [-2.94, 2.94] after 154 pairs, elo +7.9 +/- 33.4
    310 games  .... llr -0.07 [-2.94, 2.94] after 155 pairs, elo +9.0 +/- 33.3
    312 games  .... llr +0.00 [-2.94, 2.94] after 156 pairs, elo +10.0 +/- 33.2
    314 games  .... llr -0.16 [-2.94, 2.94] after 157 pairs, elo +7.7 +/- 33.2
    316 games  .... llr -0.08 [-2.94, 2.94] after 158 pairs, elo +8.8 +/- 33.1
    318 games  .... llr -0.09 [-2.94, 2.94] after 159 pairs, elo +8.7 +/- 32.9
    321 games  .... llr -0.17 [-2.94, 2.94] after 160 pairs, elo +7.6 +/- 32.7
    322 games  .... llr -0.26 [-2.94, 2.94] after 161 pairs, elo +6.5 +/- 32.6
